date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-07-01,10.8,8,14,14.9,,14,11,,1018.3,
2022-07-02,7.8,2.9,13,0,,130,5.6,,1021.5,
2022-07-03,7.9,5,13,0,,126,5.1,,1020.1,
2022-07-04,8.3,3.9,15.6,0,,149,7,,1023.3,
2022-07-05,7.2,3.3,13,0,,148,8,,1021.4,
2022-07-06,8.4,3,13.5,6.7,,69,9,,1020.3,
2022-07-07,7.8,4,15,0,,143,7,,1016.3,
2022-07-08,9.5,4,13,0.5,,20,7.5,,1014.7,
2022-07-09,11.8,9.6,13.2,28.5,,5,18,,1013.2,
2022-07-10,9.7,7.7,11,17.8,,81,8.3,,1016.4,
2022-07-11,8.7,4.1,14,1.1,,107,5.7,,1024.2,
2022-07-12,7.9,4,14,0,,154,7.8,,1020.9,
2022-07-13,8,2,13,8.5,,50,10.2,,1014.1,
2022-07-14,8.4,4.9,12,39.6,,58,12,,1015.4,
2022-07-15,7.7,6.6,10,23.5,,67,10.4,,1017.7,
2022-07-16,6.9,2,12,0,,108,6.2,,1026.8,
2022-07-17,7.1,2,12,0,,136,4.9,,1022.1,
2022-07-18,8.4,4,15,0,,162,8,,1021.2,
2022-07-19,7.9,2.6,14,0,,175,7.9,,1017.7,
2022-07-20,7.8,1.2,15,0,,177,6.2,,1016.9,
2022-07-21,8,3,14,0,,178,6.2,,1018.1,
2022-07-22,8.9,3,15,0,,207,7,,1016.8,
2022-07-23,9.9,9,11,0,,67,5.8,,1018,
2022-07-24,10.8,9,12,0,,24,5.3,,1018,
2022-07-25,12.2,10.8,14,0,,20,12.5,,1017,
2022-07-26,11.9,7.8,15,0.1,,58,6.5,,1020.8,
2022-07-27,9.9,5.3,14.1,0,,166,7.5,,1023.9,
2022-07-28,10.4,3.1,18,0,,145,7.2,,1022.4,
2022-07-29,8.8,3.9,13,0,,83,7.3,,1014.7,
2022-07-30,11.5,10,14,1.2,,28,7.1,,1017.7,
2022-07-31,9.6,4.8,14,0,,162,8.3,,1019.3,
2022-08-01,9.6,5.9,12.6,0,,200,5.1,,1018.2,
2022-08-02,10.1,5,15,0,,182,9.4,,1017.9,
2022-08-03,6.7,1,13,0,,181,8.4,,1022.4,
2022-08-04,8.5,2,17,0,,161,7.8,,1022.6,
2022-08-05,8.9,3,14.8,0,,209,8.8,,1018.4,
2022-08-06,11.3,9.9,15,30.7,,33,8.8,,1018.4,
2022-08-07,9.8,4.2,13,7.1,,7,10.7,,1023,
2022-08-08,9.2,3,17,0,,158,7.5,,1023.2,
2022-08-09,9.7,3,17,0,,153,7.2,,1019.8,
2022-08-10,8.5,4,13,0,,148,7.2,,1018.6,
2022-08-11,8.3,4,11.1,0,,121,6.8,,1018.8,
2022-08-12,9.7,4.8,14,0,,138,6.7,,1022.5,
2022-08-13,8.5,3.2,15,0,,151,7.5,,1021.8,
2022-08-14,9.2,4.7,14,7.5,,36,8.6,,1021,
2022-08-15,9.9,6.5,13,1,,181,7.5,,1025.3,
2022-08-16,10,7,13,4.5,,90,5.3,,1020.6,
2022-08-17,10.1,6.5,15,0.4,,172,16.6,,1023.6,
2022-08-18,10.5,4.5,18,0,,159,15.9,,1025.1,
2022-08-19,10.1,4,15,0,,163,11.1,,1017.4,
2022-08-20,10.2,4,16,0,,198,8.4,,1017.3,
2022-08-21,10.1,7.7,12,0,,359,9.3,,1016,
2022-08-22,11.4,10.6,13,0,,357,8.8,,1018.6,
2022-08-23,11.4,7.8,14.1,0,,190,14,,1020.6,
2022-08-24,9.6,4.5,15.5,0,,184,9.9,,1018.8,
2022-08-25,9.5,4,14.2,0,,184,12.3,,1018.7,
2022-08-26,9,5.2,13,0,,122,7.3,,1019.1,
2022-08-27,11.2,3,20,0,,151,11.8,,1022,
2022-08-28,13.1,7.2,20.3,0,,137,10.5,,1015.6,
2022-08-29,9.9,5,12,0,,342,10.2,,1016.3,
2022-08-30,11.4,8.4,13.6,0,,324,9,,1018.3,
2022-08-31,10.9,7.5,13,0,,224,9.6,,1020.5,
2022-09-01,10.7,7,15.7,0,,198,12,,1023.7,
2022-09-02,10.2,5,15,0,,199,16.1,,1019,
2022-09-03,9.3,3.2,15.8,0,,86,7.2,,1018.6,
2022-09-04,10.2,5.8,16.1,0,,174,10.1,,1017,
2022-09-05,9.8,7,13,0,,278,9.7,,1016.9,
2022-09-06,9.9,8,11.7,0,,348,10.5,,1017.1,
2022-09-07,10.5,7.1,13.5,6.7,,3,16.2,,1018.9,
2022-09-08,9.2,6.5,12.1,7.5,,179,10.6,,1022.7,
2022-09-09,8.9,3,14.2,0,,170,14.7,,1020.4,
2022-09-10,9.4,3.7,13.3,0,,340,11.6,,1019,
2022-09-11,11.2,6,14,0,,228,11.2,,1024.2,
2022-09-12,8.4,3,13,0,,195,8.6,,1021.6,
2022-09-13,11.3,7.2,14.5,0,,188,9.7,,1024,
2022-09-14,10.7,4.8,16.1,0,,159,15.2,,1021.6,
2022-09-15,9.5,5.6,13.2,0,,196,10.9,,1017.2,
2022-09-16,11.2,9.5,14,0,,8,8.2,,1017.5,
2022-09-17,10.7,8,14.2,2.6,,73,11.7,,1019.5,
2022-09-18,9.8,7,12.7,0.2,,213,16.8,,1023,
2022-09-19,8.3,1.9,15,0,,189,13.4,,1021.8,
2022-09-20,8.3,4,13.4,0,,186,17.2,,1024.8,
2022-09-21,8.1,1.9,14,0,,169,13,,1028.8,
2022-09-22,13.1,5.7,22.5,0,,166,16.9,,1021.7,
2022-09-23,11.8,8.5,16.2,0,,237,14.1,,1018.4,
2022-09-24,11.4,10,13,3.6,,293,13.9,,1021.2,
2022-09-25,11.3,7,14,0,,219,12,,1022.7,
2022-09-26,9.7,5,14.7,0,,173,13.3,,1020.2,
2022-09-27,10.4,5.2,15,0,,228,14.3,,1019.1,
2022-09-28,11.3,9.9,13,0,,326,10.8,,1020.4,
2022-09-29,11.3,10.4,13,0,,253,8.9,,1020.3,
2022-09-30,12.1,10,16,0,,188,12.2,,1019.2,
2022-10-01,12,10,14.6,0,,280,8.1,,1017.7,
2022-10-02,10.4,10,11.5,0,,254,6.6,,1017.1,
2022-10-03,10.1,6.6,12.5,0.9,,267,6.9,,1017.7,
2022-10-04,10.1,5.2,14.5,0,,257,9.4,,1018.6,
2022-10-05,11.6,9,15.1,0,,204,14.1,,1021.7,
